Year,Product Type,Product/Title,Plot/Notes,Tags
2018,tv series,today nbc,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('nbc', 0.8228), ('tv', 0.6197), ('today', 0.6103)]"
2018,tv series,tom clancys jack ryan amazon prime,trailer,"[('tv series', 1.0), ('trailer', 1.0), ('clancys', 0.6338), ('amazon', 0.5372), ('prime', 0.4161)]"
2018,tv series,unsolved: the murders of tupac  the notorious b.i.g. usa network,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('tupac', 0.6671), ('tv', 0.6197), ('notorious', 0.5256)]"
2018,tv series,"the voice  nbc """"""the voice super commercial""""""","blake shelton, adam levine, alicia keys and kelly clarkson do a countrystyled video to promote the new season of the voice.","[('tv series', 1.0), ('voice', 0.5138), ('nbc', 0.4547), ('commercial', 0.393), ('super', 0.3884)]"
2018,tv series,westworld season 2 hbo,tv promo,"[('tv series', 1.0), ('promo', 0.8285), ('westworld', 0.7617), ('tv', 0.6197), ('hbo', 0.5327)]"
2018,tv special,jesus christ superstar live in concert nbc,tv promo,"[('tv special', 1.0), ('promo', 0.8285), ('tv', 0.6197), ('concert', 0.5984), ('nbc', 0.4699)]"
2018,travel,"tourism australia """"""dundee""""""","a trailer for dundee, a crocodile dundee reboot supposedly starring danny mcbride and chris hemsworth, reveals itself to be an ad for travel to australia.","[('travel', 1.0), ('dundee', 0.6765), ('tourism', 0.5018), ('trailer', 0.3994), ('australia', 0.3612)]"
2018,travel,"universal parks  resorts """"""in game""""a.k.a. """"peyton manning: vacation quarterback""""""",peyton manning and his family visit a universal theme park.,"[('travel', 1.0), ('manning', 0.5919), ('peyton', 0.5574), ('parks', 0.441), ('resorts', 0.365)]"
2018,video game,"heroes arena """"""conquer your battles""""""",,"[('video game', 1.0), ('arena', 0.5582), ('heroes', 0.5385), ('conquer', 0.5116), ('battles', 0.4745)]"
2018,website,"blacture """"""be celebrated""""""",fugee members talk about a new website that celebrates black excellence.,"[('website', 1.0), ('celebrated', 0.6877), ('blacture', 0.5852), ('fugee', 0.5045), ('excellence', 0.4102)]"
2018,website,"squarespace """"""make it with keanu reeves""""""","keanu reeves rides his motorcycle in the middle of a desert highway while standing on it as he cites lines from will powers ""adventures in success"".","[('website', 1.0), ('squarespace', 0.6326), ('keanu', 0.5451), ('motorcycle', 0.5312), ('reeves', 0.5073)]"
2018,website,"wix.com """"""rhett  link""""""",internet youtuber comedians rhett and link use wix.com to create a website.,"[('website', 1.0), ('rhett', 0.5145), ('wix', 0.5138), ('youtuber', 0.4958), ('comedians', 0.4429)]"
2018,wireless,"sprint """"""evelyn""""""","a doctor was analyzing evelyns artificial intelligence when she notices that his phone was under verizon, causing other robots in the lab to laugh at him. he tells the sprint guy he is switching because his ""coworkers"" made fun of him.","[('wireless', 1.0), ('sprint', 0.6525), ('evelyn', 0.5838), ('verizon', 0.449), ('phone', 0.4011)]"
2018,wireless,"verizon wireless """"""remember the first responders""""""",10second clip after the halftime show where justin timberlake thanks the first responders.,"[('wireless', 1.0), ('halftime', 0.601), ('verizon', 0.5681), ('timberlake', 0.4918), ('clip', 0.4437)]"
2018,wireless,"verizon wireless """"""answering the call""""""",60second commercial slide montage of first responders in action.,"[('wireless', 1.0), ('verizon', 0.5832), ('slide', 0.4779), ('montage', 0.4555), ('responders', 0.3905)]"
2018,wireless,"tmobile """"""little ones""""""",babies of various races look up to a camera where a womans spoke tells them social messages.,"[('wireless', 1.0), ('tmobile', 0.7178), ('babies', 0.4545), ('little', 0.4128), ('social', 0.3747)]"
2019,alcohol,"bon  viv spiked seltzer """"""the pitch""""""","two mermaids ""pitch"" bon  viv spiked seltzer to actual sharks.","[('alcohol', 1.0), ('mermaids', 0.5979), ('sharks', 0.5623), ('seltzer', 0.5374), ('pitch', 0.4703)]"
2019,alcohol,"bud light """"""special delivery""""""","the bud light king mistakenly receives a gigantic barrel of corn syrup, which his followers attempt to gift to coors light and miller lite instead, since bud light does not use corn syrup as an ingredient.","[('alcohol', 1.0), ('delivery', 0.4466), ('syrup', 0.4304), ('light', 0.3833), ('corn', 0.3193)]"
2019,alcohol / tv series,"bud light  game of thrones""joust""",the bud knight is defeated in a jousting match by the mountain.,"[('alcohol', 1.0), ('tv series', 1.0), ('joust', 0.7042), ('thrones', 0.5012), ('jousting', 0.4873)]"
2019,alcohol,"budweiser """"""wind never felt better""""""","a dalmatian rides a cart pulled by the clydesdales through a wind farm at tejon ranch, promoting the brands commitment to using renewable energy in its production process.","[('alcohol', 1.0), ('budweiser', 0.6652), ('dalmatian', 0.4536), ('wind', 0.4485), ('renewable', 0.4413)]"
2019,alcohol,"hennessy """"""major""""""",track cyclist of the 1890s and 1900s major taylor reaches the end of a race where the only competitor is himself.,"[('alcohol', 1.0), ('hennessy', 0.7481), ('cyclist', 0.5174), ('major', 0.4788), ('track', 0.4116)]"
2019,alcohol,"michelob ultra """"""robots""""""",,"[('alcohol', 1.0), ('michelob', 0.6161), ('robots', 0.5564), ('ultra', 0.4026)]"
2019,alcohol,"michelob ultra pure gold """"""the pure experience""""""","zo kravitz invites viewers to experience an asmr sensation inspired by the new lite ""pure gold"" brew.","[('alcohol', 1.0), ('kravitz', 0.5025), ('ultra', 0.5024), ('michelob', 0.4987), ('pure', 0.4616)]"
2019,alcohol,"stella artois """"""change up the usual""""""","at a bar, sarah jessica parker decides to order a stella artois rather than a cosmopolitan the signature drink of her sex and the city character carrie bradshaw. jeff bridges in a portrayal of his the big lebowski character ""the dude"" follows suit by similarly declining a white russian in favor of a ""stella artose"".","[('alcohol', 1.0), ('stella', 0.5642), ('lebowski', 0.4943), ('artois', 0.4648), ('bradshaw', 0.3731)]"
2019,beverage,"bubly sparkling water """"""bubl vs. bubly""""""","at a store, singer michael bubl insists on pronouncing the name of bubly as ""bubl"", even after another customer and a clerk whom bubl refers to as ""dav"" corrects him.","[('beverage', 1.0), ('bubly', 0.6706), ('bubl', 0.5882), ('sparkling', 0.576), ('pronouncing', 0.413)]"
2019,beverage,"pepsi """"""more than ok""""""",,"[('beverage', 1.0), ('pepsi', 0.6656), ('ok', 0.1898)]"
2019,candy,"mms chocolate bar """"""bad passenger""""""","the mms characters fight in the backseat of a car driven by christina applegate, who threatens to ""break them apart"" and eat them if they dont behave: it is revealed that they had been embedded in a chocolate bar.","[('candy', 1.0), ('chocolate', 0.4788), ('passenger', 0.4572), ('mms', 0.4475), ('bar', 0.4473)]"
2019,car,"audi etron gt """"""cashew""""""","a man encounters his grandfather at an isolated house in a field, where he shows him an audi etron gt in his garage. just as the man is about to drive it, it is revealed that this was only a dream, and that the man was actually at work choking on a cashew.","[('car', 1.0), ('audi', 0.6653), ('cashew', 0.4996), ('etron', 0.4326), ('dream', 0.3998)]"
2019,car,"hyundai shopper assurance """"""the elevator""""""","jason bateman mans an elevator taking people to floors reflecting life experiences they dont always look forward to such as a dentist appointment and a vegan dinner party. when a couple is sent to a floor for car shopping, bateman is told that they were actually getting a hyundai, and had used shopper assurance to pick a vehicle and schedule a test drive without haggling with a salesperson.","[('car', 1.0), ('elevator', 0.5447), ('bateman', 0.5394), ('hyundai', 0.4955), ('shopper', 0.3852)]"
2019,car,"kia telluride """"""give it everything""""""","the city of west point, georgia is revitalized by the opening of a kia factory there.","[('car', 1.0), ('telluride', 0.5593), ('kia', 0.5523), ('revitalized', 0.4179), ('west', 0.4179)]"
2019,car,"mercedesbenz aclass """"""say the word""""""","a man uses his voice to control real life, just as he can control the entertainment system on his aclass.","[('car', 1.0), ('mercedesbenz', 0.7566), ('voice', 0.4974), ('aclass', 0.4481), ('control', 0.4303)]"
2019,car,"toyota rav4 hybrid """"""toni""""""","jim nantz narrates a story on challenging expectations, focusing on female football player antoinette harris.","[('car', 1.0), ('rav4', 0.5545), ('hybrid', 0.5429), ('toyota', 0.4489), ('narrates', 0.4168)]"
2019,car,"toyota supra""wizard""","to the whos ""pinball wizard"", the toyota supra drives through a giant pinball machine.","[('car', 1.0), ('toyota', 0.6462), ('supra', 0.5525), ('pinball', 0.5105), ('wizard', 0.4763)]"
2019,film,alita: battle angel,promo,"[('film', 1.0), ('promo', 1.0), ('alita', 0.7409), ('angel', 0.5191), ('battle', 0.4495)]"
2019,film,avengers: endgame,teaser,"[('film', 1.0), ('teaser', 1.0), ('avengers', 0.7675), ('endgame', 0.7355)]"
2019,film,captain marvel,promo,"[('film', 1.0), ('promo', 1.0), ('marvel', 0.832), ('captain', 0.6752)]"
2019,film,hobbs  shaw,trailer,"[('film', 1.0), ('trailer', 1.0), ('hobbs', 0.8044), ('shaw', 0.7294)]"
2019,film,scary stories to tell in the dark,teaser,"[('film', 1.0), ('teaser', 1.0), ('stories', 0.5199), ('scary', 0.4869), ('dark', 0.4731)]"
2019,film,toy story 4,teaser,"[('film', 1.0), ('teaser', 1.0), ('toy', 0.6911), ('story', 0.367)]"
2019,film,us,promo,"[('film', 1.0), ('promo', 1.0)]"
2019,film,wonder park,trailer,"[('film', 1.0), ('trailer', 1.0), ('park', 0.6852), ('wonder', 0.4929)]"
2019,food,"avocados from mexico""top dog""",,"[('food', 1.0), ('avocados', 0.7123), ('mexico', 0.4292), ('dog', 0.3472)]"
2019,food,"burger king""eatlikeandy""",footage of andy warhol eating a whopper from the film 66 scenes from america.,"[('food', 1.0), ('eatlikeandy', 0.7295), ('burger', 0.6498), ('whopper', 0.5799), ('king', 0.4108)]"
2019,food,"flamin hot doritos""now its hot""","chance the rapper raps over the backstreet boys ""i want it that way"" to make the original ""hot"".","[('food', 1.0), ('doritos', 0.6089), ('flamin', 0.5667), ('rapper', 0.5035), ('backstreet', 0.4441)]"
2019,food,"pringles""sad device""","a smart speaker emotionally resents not being able to stack pringles because it doesnt have hands, but is interrupted when its asked to play ""funkytown"" instead.","[('food', 1.0), ('pringles', 0.6897), ('device', 0.486), ('speaker', 0.4138), ('funkytown', 0.4053)]"
2019,smart speaker,"amazon echo""not everything makes the cut""","a series of rejected ideas for alexapowered products are presented, including an electric toothbrush, a dog collar with bark recognition which causes harrison fords dog to repeatedly order dog food, hot tub which triggers an extravagant water show when playing music, and space station which causes an ""incident"" affecting electrical power worldwide.20 ","[('smart speaker', 1.0), ('alexapowered', 0.6038), ('echo', 0.4971), ('electrical', 0.4447), ('electric', 0.4188)]"
2019,nfl," ""nfl centennial season""""the 100year game""""""","marshawn lynch tries to steal a slice of cake at a gala celebrating the nfls 100th season, but knocks a football centerpiece off in the processinstigating a fight for the ball involving a cast of current and past players. the ad also features appearances by sarah thomas the nfls first female official, and video game streamer ninja.","[('nfl', 1.0), ('centennial', 0.5084), ('100year', 0.4927), ('nfls', 0.4743), ('lynch', 0.4506)]"
2019,store,"walmart grocery pickup""famous cars""",a number of iconic vehicles from film and television visit a walmart store to use its grocery pickup service. this ad originally premiered during the 20 9 golden globe awards.,"[('store', 1.0), ('grocery', 0.5534), ('walmart', 0.5185), ('cars', 0.4891), ('pickup', 0.4189)]"
2019,tv series,the handmaids tale season 3 hulu,"the ad opens with scenes and narration based on ronald reagans ""morning in america"" campaign advertisement, but is interrupted by violent scenes of the series dystopian society.","[('tv series', 1.0), ('hulu', 0.5491), ('handmaids', 0.5128), ('advertisement', 0.4357), ('ad', 0.3881)]"
2019,tv series,hanna amazon video,"promo. a special preview release of the premiere episode became available for streaming for 24 hours, beginning at 9:30p.m. et, intended to be watched after the game.","[('tv series', 1.0), ('hanna', 0.711), ('promo', 0.5255), ('premiere', 0.508), ('video', 0.5038)]"
2019,tv series,the late show with stephen colbert cbs,"a song and dance number promoting a special episode after the game is interrupted by ""cbs sports breaking news"", with james brown informing viewers that ""today is the super bowl"". by the time the ad returns, the number had already ended.","[('tv series', 1.0), ('colbert', 0.7705), ('cbs', 0.4933), ('stephen', 0.465), ('song', 0.3441)]"
2019,tv series,the twilight zone cbs all access,"after a fake interruption of cbss super bowl telecast, jordan peele addresses an empty mercedesbenz stadium, asking viewers to question their reality.","[('tv series', 1.0), ('twilight', 0.623), ('cbs', 0.6106), ('peele', 0.4038), ('zone', 0.4025)]"
2019,video game,"xbox adaptive controller""we all win""","owen sirmons, a child with escobar syndrome, is able to play video games using microsofts xbox adaptive controller.","[('video game', 1.0), ('controller', 0.5301), ('xbox', 0.4573), ('adaptive', 0.3988), ('sirmons', 0.3937)]"
2019,wireless," ""tmobile""""dad""""""",a father accidentally texts someone on searching to make eggplant parmigiana.,"[('wireless', 1.0), ('tmobile', 0.7452), ('eggplant', 0.4612), ('father', 0.4222), ('dad', 0.416)]"
2019,wireless,tmobile ,"""mike"" responds to a text message to what is actually a lyft driver.","[('wireless', 1.0), ('tmobile', 1.0), ('lyft', 0.5749), ('driver', 0.4693), ('mike', 0.4461)]"
2019,wireless,"tmobile""well keep this brief""",a person texts to cathy to check on her only to very long lengthy response about her day.,"[('wireless', 1.0), ('tmobile', 0.7445), ('cathy', 0.5189), ('brief', 0.4923), ('texts', 0.3782)]"
2019,wireless,"tmobile""whats for dinner""","in a conversation between the two, a person tries to figure out a response and while considering to eat between tacos and sushi.","[('wireless', 1.0), ('tmobile', 0.6555), ('tacos', 0.5578), ('dinner', 0.5545), ('sushi', 0.5089)]"
2020,beer,"presidente""never left""","features alex rodriguez, coowner and chairman of the brand, where he goes back to miami where he grew up.","[('beer', 1.0), ('presidente', 0.6281), ('rodriguez', 0.5961), ('miami', 0.3928), ('brand', 0.3807)]"
2020,car,"audi etron sportback""let it go""","maisie williams is stuck in a traffic jam surrounded by old vehicles. singing ""let it go"", she passes by lowriders, a repair shop and a gas station, leaving the fossilfuel world behind.","[('car', 1.0), ('audi', 0.5762), ('maisie', 0.4399), ('williams', 0.3883), ('etron', 0.3855)]"
2020,car,"hyundai sonata""smaht pahk""","john krasinski demonstrates the new ""remote smart parking assist"" feature of his hyundai sonata, which he refers to in a thick boston accent as ""smaht pahk"". the ad also features appearances by fellow bostonians rachel dratch, chris evans, and boston red sox player david ortiz.","[('car', 1.0), ('sonata', 0.6173), ('krasinski', 0.5319), ('hyundai', 0.5311), ('pahk', 0.4739)]"
2020,car,"genesis gv80""going away party""","chrissy teigen throws a ""goingaway party"" for ""old luxury"", in favor of ""young luxury"", symbolized by john legend and a genesis gv80.","[('car', 1.0), ('genesis', 0.5958), ('gv80', 0.4981), ('luxury', 0.428), ('party', 0.4116)]"
2020,car,"gmc hummer ev""quiet revolution""","several scenes teasing aspects of the electric truck are followed by similar scenes in absolute silence, concluding with lebron james sinking a slam dunk that smashes the backboard glass.","[('car', 1.0), ('hummer', 0.5745), ('dunk', 0.4471), ('gmc', 0.4297), ('truck', 0.3839)]"
2020,car,"jeep""groundhog day""","groundhog day commercial featuring bill murray as his character for the movie, meeting with punxsutawney phil again as he is currently in the time loop again they enjoy 2/2/2020 with the jeep gladiator.","[('car', 1.0), ('jeep', 0.6046), ('groundhog', 0.587), ('day', 0.3942), ('punxsutawney', 0.342)]"
2020,car,"kia seltos""tough never quits""","rookie josh jacobs returns to his hometown of tulsa, oklahoma offering advice and inspiration to his younger self to overcome the challenges he faced on his path to the nfl.","[('car', 1.0), ('jacobs', 0.5681), ('kia', 0.5488), ('quits', 0.447), ('josh', 0.38)]"
2020,car,"toyota highlander""heroes""","driving a toyota highlander, cobie smulders saves the day in various movie tropes including a biological disaster, a western and an alien invasion with room to spare.","[('car', 1.0), ('highlander', 0.7182), ('toyota', 0.596), ('smulders', 0.4682), ('heroes', 0.4352)]"
2020,car,"porsche taycan""the heist""","security professionals are alerted when the porsche taycan is stolen from an exhibit at the porsche museum in the ensuing chase numerous vehicles are used such as a 911 carrera s, a 917 k and a 918 spyder.","[('car', 1.0), ('porsche', 0.6284), ('taycan', 0.6046), ('heist', 0.574), ('stolen', 0.381)]"
2020,film,"f9""trailer""",,"[('film', 1.0), ('trailer', 0.7332), ('f9', 0.6664)]"
2020,film,"the invisible man""trailer""",,"[('film', 1.0), ('trailer', 0.6171), ('invisible', 0.521), ('man', 0.2144)]"
2020,film,"mulan""trailer""",,"[('film', 1.0), ('mulan', 0.7042), ('trailer', 0.6804)]"
2020,food,"doritos""the cool ranch""","lil nas x and sam elliott participate in a dance showdown to ""old town road"".","[('food', 1.0), ('doritos', 0.7391), ('ranch', 0.6189), ('elliott', 0.4139), ('lil', 0.4017)]"
2020,food,"planters""tribute""","following his death in a previous ad, mr. peanut returns to life as a newborn child after the koolaid mans tears drip onto his grave.","[('food', 1.0), ('planters', 0.7299), ('tribute', 0.5814), ('peanut', 0.5419), ('newborn', 0.3656)]"
2020,food,"poptarts pretzel""poptarts fixed the pretzel""","jonathan van ness serves as spokesperson for poptarts pretzel, promoting it as an alternative to ""boring"" pretzels","[('food', 1.0), ('pretzel', 0.6861), ('poptarts', 0.5684), ('pretzels', 0.524), ('jonathan', 0.3506)]"
2020,food / tv series,"pringles""rick and morty""","after morty enthusiastically enters the living room to promote various pringles products, rick exposes him as being a robot, and realizes he is trapped in a pringles commercial.","[('food', 1.0), ('tv series', 1.0), ('rick', 0.5671), ('pringles', 0.5669), ('morty', 0.5383)]"
2020,website, facebook,"facebook groups ""ready to rock"" featuring different groups with the word rock in it. surprisingly featuring chris rock and sylvester stallone known for his character rocky balboa in it.","[('website', 1.0), ('facebook', 1.0), ('rocky', 0.5531), ('rock', 0.467), ('balboa', 0.3957)]"
